,Current(A),Voltage(V),Temp(C),SOC
0,-0.5005077123641968,3.8232724666595463,0,0.7311879546464667
2,-0.5005077123641968,3.822300672531128,0,0.7310489247263655
4,-0.5003277659416199,3.82181453704834,0,0.7309098948062643
6,-0.5003277659416199,3.821004629135132,0,0.7307709148712805
8,-0.5005077123641968,3.8205187320709233,0,0.7306319349362967
10,-0.5003277659416199,3.819870710372925,0,0.7304929050161956
12,-0.5005077123641968,3.819222688674927,0,0.7303539000886531
14,-0.5003277659416199,3.8187367916107178,0,0.7302148701685519
16,-0.5003277659416199,3.818412780761719,0,0.7300758902335681
18,-1.0002213716506958,3.7638216018676762,0,0.7299368853060256
20,-1.0000414848327637,3.7605817317962646,0,0.729659071020403
22,-1.0002213716506958,3.7581520080566406,0,0.7293812317339432
24,-1.0002213716506958,3.756370067596436,0,0.7291033924640402
26,-0.9998615384101868,3.75475001335144,0,0.7288255781784175
28,-1.0002213716506958,3.753130197525024,0,0.7285477888853535
30,0.499279648065567,3.9136638641357417,0,0.7282699496154506
32,0.499279648065567,3.920791387557984,0,0.7284086134140211
34,0.499279648065567,3.925003290176392,0,0.7285473022051503
36,0.4994595944881439,3.9282431602478023,0,0.7286860159888383
38,-0.00025413333787582815,3.876729726791382,0,0.7288247297725263
40,-0.00025413333787582815,3.876729726791382,0,0.7288246591799326
42,-7.418601308017969e-05,3.8770537376403813,0,0.7288245885873388
44,-7.418601308017969e-05,3.877701759338379,0,0.7288245679801129
46,-0.0004340806626714766,3.878187656402588,0,0.728824522380203
48,-0.00025413333787582815,3.878673553466797,0,0.7288244018022412
50,-0.00025413333787582815,3.879321575164795,0,0.7288243312096474
52,-0.00025413333787582815,3.879807472229004,0,0.7288242606170536
54,-0.5005077123641968,3.82521653175354,0,0.7288242150171438
56,-0.5005077123641968,3.8232724666595463,0,0.7286852100896013
58,-0.5003277659416199,3.82181453704834,0,0.7285461551769414
60,-0.5005077123641968,3.8206806182861333,0,0.7284071502493991
62,-0.5005077123641968,3.819708585739136,0,0.7282681453218565
64,-0.5005077123641968,3.819060802459717,0,0.7281291154017553
66,-0.5003277659416199,3.818412780761719,0,0.7279901104742128
68,-0.5003277659416199,3.817602872848511,0,0.7278511305392291
70,-0.5003277659416199,3.817116737365722,0,0.7277121506042452
72,-0.5005077123641968,3.816468954086304,0,0.7275731456767027
74,-0.5006876587867737,3.8156588077545166,0,0.7274341157566016
76,-0.500147819519043,3.8153350353240967,0,0.7272950608439417
78,-0.5005077123641968,3.814687013626098,0,0.7271560809089579
80,-0.5003277659416199,3.8143630027771,0,0.7270170759814154
82,-0.5005077123641968,3.8137149810791016,0,0.7268780710538729
84,-0.5005077123641968,3.8132290840148926,0,0.7267390661263304
86,-0.5005077123641968,3.8129050731658936,0,0.726600061198788
88,-0.5003277659416199,3.812419176101685,0,0.7264610312786868
90,-0.5005077123641968,3.811933040618897,0,0.7263220263511443
92,-0.5003277659416199,3.8117711544036874,0,0.7261829964310431
94,-0.5003277659416199,3.8112850189208975,0,0.7260439915035006
96,-0.5005077123641968,3.8109612464904794,0,0.7259049865759581
98,-0.5005077123641968,3.8104751110076895,0,0.7257659566558571
